Language,Number of articles,Number of edits,Share of websites in %
English,6919531,31251861,49.2
Cebuano,6116874,,
German,2965075,5508570,5.9
French,2650874,5276385,4.4
Swedish,2598475,,0.5
Dutch,2173207,,2.2
Russian,2013190,3303066,3.8
Spanish,1993410,4786205,6
Italian,1894012,3200398,2.8
Polish,1637730,1383808,1.8
Egyptian Arabic,1625679,,
Chinese,1453081,2505032,1.1
Japanese,1439134,2973657,5.2
Ukrainian,1355544,1376980,0.7
Vietnamese,1294405,,1
Waray,1266607,,
Arabic,1246892,,
Portuguese,1139305,,4
Persian,1021143,,1.1
Catalan,764249,,
Indonesian,712003,,1
Serbian,698219,,
Korean,691391,,0.8
Norwegian,639491,,
Turkish,624847,,1.7
Czech,,,1
Hungarian,,,0.6
